Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Unit_Price,Profit_Margin,Revenue,Discount_Band,Price_Segment,Market_Benchmark_Price_x,Market_Benchmark_Price_y,Market_Benchmark_Price,Price_vs_Market
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,619.95,5,0.0,111.591,123.99,17.999999999999996,619.95,No Discount,Premium,29.99,29.99,29.99,Overpriced
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,4.36,2,0.0,2.0492,2.18,46.99999999999999,4.36,No Discount,Low,6.48,6.48,6.48,Underpriced
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Office Supplies,Envelopes,15.28,2,0.0,7.4872,7.64,49.0,15.28,No Discount,Low,9.303999999999998,9.303999999999998,9.303999999999998,Fair
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Technology,Phones,699.93,7,0.0,181.9818,99.99,26.0,699.93,No Discount,Mid,69.99,69.99,69.99,Overpriced
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Office Supplies,Art,22.96,7,0.0,6.6584,3.28,29.0,22.96,No Discount,Mid,4.24,4.24,4.24,Fair
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Furniture,Furnishings,38.6,4,0.0,11.58,9.65,30.0,38.6,No Discount,Mid,14.136,14.136,14.136,Underpriced
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Office Supplies,Art,6.63,3,0.0,1.7901,2.21,27.0,6.63,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Office Supplies,Envelopes,23.34,3,0.0,10.9698,7.78,47.0,23.34,No Discount,Mid,9.303999999999998,9.303999999999998,9.303999999999998,Fair
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Furniture,Chairs,1067.94,3,0.0,224.2674,355.98,21.0,1067.94,No Discount,Premium,105.623,105.623,105.623,Overpriced
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Office Supplies,Art,10.16,1,0.0,2.6416,10.16,26.0,10.16,No Discount,Premium,4.24,4.24,4.24,Overpriced
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Office Supplies,Envelopes,101.88,6,0.0,50.94,16.98,50.0,101.88,No Discount,Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
Standard Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Tables,343.92,4,0.0,75.6624,85.98,22.0,343.92,No Discount,Low,145.49,145.49,145.49,Underpriced
Standard Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,40.99,1,0.0,20.0851,40.99,49.0,40.99,No Discount,Premium,6.48,6.48,6.48,Overpriced
Standard Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,63.9,5,0.0,28.755,12.78,45.0,63.9,No Discount,Mid,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
First Class,Corporate,United States,Antioch,California,94509,West,Office Supplies,Paper,19.44,3,0.0,9.3312,6.48,48.00000000000001,19.44,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,124.608,4,0.2,-23.364,31.152,-18.75,124.608,Low (1-20%),Mid,37.208,37.208,37.208,Fair
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,7.56,3,0.2,2.646,2.52,35.0,7.56,Low (1-20%),Low,3.984,3.984,3.984,Underpriced
Same Day,Consumer,United States,Homestead,Florida,33030,South,Office Supplies,Storage,85.224,3,0.2,7.4571,28.408,8.75,85.224,Low (1-20%),Mid,37.208,37.208,37.208,Fair
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Envelopes,287.52,8,0.0,129.384,35.94,44.99999999999999,287.52,No Discount,Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Appliances,37.68,2,0.0,10.5504,18.84,28.0,37.68,No Discount,Mid,30.448,30.448,30.448,Underpriced
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Paper,19.98,2,0.0,8.991,9.99,44.99999999999999,19.98,No Discount,Mid,6.48,6.48,6.48,Overpriced
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Art,20.58,7,0.0,5.5566,2.94,27.0,20.58,No Discount,Low,4.24,4.24,4.24,Underpriced
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Binders,17.38,2,0.0,8.69,8.69,50.0,17.38,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,0.0,53.196,102.3,26.0,204.6,No Discount,Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,0.0,2.8776,2.18,33.0,8.72,No Discount,Mid,2.84,2.84,2.84,Fair
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,6.48,47.99999999999999,6.48,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Machines,686.32,2,0.2,223.054,343.16,32.49999999999999,686.32,Low (1-20%),Mid,199.77,199.77,199.77,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,0.0,16.7886,62.18,27.0,62.18,No Discount,Mid,37.208,37.208,37.208,Overpriced
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Appliances,644.076,2,0.1,107.346,322.038,16.666666666666664,644.076,Low (1-20%),Premium,30.448,30.448,30.448,Overpriced
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Fasteners,5.84,2,0.0,2.628,2.92,45.0,5.84,No Discount,Mid,2.84,2.84,2.84,Fair
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Binders,12.76,2,0.0,5.8696,6.38,46.0,12.76,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Technology,Phones,10.95,1,0.0,0.438,10.95,4.0,10.95,No Discount,Low,69.99,69.99,69.99,Underpriced
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Technology,Copiers,599.98,2,0.0,209.993,299.99,35.0,599.98,No Discount,Low,439.992,439.992,439.992,Underpriced
Standard Class,Corporate,United States,Cuyahoga Falls,Ohio,44221,East,Furniture,Furnishings,8.352,6,0.2,1.2528,1.392,15.0,8.352,Low (1-20%),Low,14.136,14.136,14.136,Underpriced
Standard Class,Corporate,United States,Reno,Nevada,89502,West,Office Supplies,Art,3.64,2,0.0,1.638,1.82,44.99999999999999,3.64,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Corporate,United States,Reno,Nevada,89502,West,Office Supplies,Binders,159.768,7,0.2,53.9217,22.824,33.75,159.768,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Office Supplies,Storage,122.48,2,0.0,0.0,61.24,0.0,122.48,No Discount,Mid,37.208,37.208,37.208,Overpriced
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Furniture,Tables,2244.48,7,0.0,493.7856,320.64,22.0,2244.48,No Discount,Premium,145.49,145.49,145.49,Overpriced
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Office Supplies,Binders,62.31,3,0.0,29.2857,20.77,47.0,62.31,No Discount,Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Furniture,Tables,455.1,2,0.0,100.122,227.55,22.0,455.1,No Discount,Premium,145.49,145.49,145.49,Overpriced
Second Class,Corporate,United States,Los Angeles,California,90004,West,Furniture,Chairs,195.184,1,0.2,19.5184,195.184,10.0,195.184,Low (1-20%),Premium,105.623,105.623,105.623,Overpriced
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,362.94,3,0.0,90.735,120.98,25.0,362.94,No Discount,Premium,30.448,30.448,30.448,Overpriced
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,11.54,2,0.0,5.77,5.77,50.0,11.54,No Discount,Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Consumer,United States,Escondido,California,92025,West,Office Supplies,Art,53.94,3,0.0,15.6426,17.98,29.000000000000004,53.94,No Discount,Premium,4.24,4.24,4.24,Overpriced
Standard Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,9.99,1,0.0,4.5954,9.99,46.0,9.99,No Discount,Low,69.99,69.99,69.99,Underpriced
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Binders,125.76,3,0.2,40.872,41.92,32.5,125.76,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Binders,25.32,5,0.2,9.1785,5.064,36.25,25.32,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,46.8,4,0.0,21.06,11.7,45.0,46.8,No Discount,Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Same Day,Consumer,United States,Seattle,Washington,98115,West,Technology,Accessories,447.93,9,0.0,49.2723,49.77,11.0,447.93,No Discount,Mid,29.99,29.99,29.99,Overpriced
Second Class,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,109.48,2,0.0,33.9388,54.74,31.0,109.48,No Discount,Premium,14.136,14.136,14.136,Overpriced
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,272.94,3,0.0,0.0,90.98,0.0,272.94,No Discount,Premium,37.208,37.208,37.208,Overpriced
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,19.44,3,0.0,9.3312,6.48,48.00000000000001,19.44,No Discount,Mid,6.48,6.48,6.48,Fair
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,31.92,4,0.0,8.2992,7.98,26.0,31.92,No Discount,Low,37.208,37.208,37.208,Underpriced
Standard Class,Consumer,United States,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,22.38,2,0.0,10.7424,11.19,48.00000000000001,22.38,No Discount,Premium,6.48,6.48,6.48,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Binders,16.52,5,0.2,5.5755,3.304,33.75,16.52,Low (1-20%),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Office Supplies,Binders,5.176,4,0.8,-7.764,1.294,-150.0,5.176,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
First Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,50.112,6,0.2,16.2864,8.352,32.5,50.112,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Home Office,United States,Concord,New Hampshire,3301,East,Office Supplies,Supplies,27.93,3,0.0,8.0997,9.31,29.000000000000004,27.93,No Discount,Mid,8.475000000000001,8.475000000000001,8.475000000000001,Fair
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Labels,11.56,4,0.0,5.4332,2.89,47.0,11.56,No Discount,Low,3.984,3.984,3.984,Underpriced
Standard Class,Consumer,United States,Rockville,Maryland,20852,East,Furniture,Chairs,172.5,2,0.0,51.75,86.25,30.0,172.5,No Discount,Mid,105.623,105.623,105.623,Fair
Standard Class,Consumer,United States,Rockville,Maryland,20852,East,Technology,Phones,179.97,3,0.0,44.9925,59.99,25.0,179.97,No Discount,Mid,69.99,69.99,69.99,Fair
Second Class,Home Office,United States,Houston,Texas,77070,Central,Technology,Accessories,258.696,3,0.2,64.674,86.23200000000001,25.0,258.696,Low (1-20%),Premium,29.99,29.99,29.99,Overpriced
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Technology,Phones,1322.93,7,0.0,357.1911,188.99,27.0,1322.93,No Discount,Premium,69.99,69.99,69.99,Overpriced
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Art,3.76,2,0.0,1.0904,1.88,29.000000000000004,3.76,No Discount,Low,4.24,4.24,4.24,Underpriced
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Envelopes,21.744,1,0.2,7.3386,21.744,33.75,21.744,Low (1-20%),Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,7.92,5,0.2,0.693,1.584,8.75,7.92,Low (1-20%),Low,69.99,69.99,69.99,Underpriced
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Binders,12.096,7,0.2,4.2336,1.728,35.0,12.096,Low (1-20%),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,485.88,6,0.0,9.7176,80.98,2.0,485.88,No Discount,Premium,37.208,37.208,37.208,Overpriced
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,25.92,4,0.0,12.4416,6.48,47.99999999999999,25.92,No Discount,Mid,6.48,6.48,6.48,Fair
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,197.58,2,0.0,53.3466,98.79,27.0,197.58,No Discount,Premium,37.208,37.208,37.208,Overpriced
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Appliances,81.92,4,0.0,22.1184,20.48,27.0,81.92,No Discount,Mid,30.448,30.448,30.448,Underpriced
Second Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,889.536,8,0.2,66.7152,111.192,7.5,889.536,Low (1-20%),Mid,69.99,69.99,69.99,Overpriced
Second Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs,892.224,3,0.2,89.2224,297.408,10.0,892.224,Low (1-20%),Premium,105.623,105.623,105.623,Overpriced
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,223.92,4,0.0,109.7208,55.98,49.0,223.92,No Discount,Premium,6.48,6.48,6.48,Overpriced
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,23.12,4,0.0,11.3288,5.78,48.99999999999999,23.12,No Discount,Low,6.48,6.48,6.48,Fair
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5.184,35.0,15.552,Low (1-20%),Low,6.48,6.48,6.48,Fair
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,15.712,4,0.2,2.5532,3.928,16.25,15.712,Low (1-20%),Low,14.136,14.136,14.136,Underpriced
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Storage,24.672,2,0.2,2.1588,12.336,8.75,24.672,Low (1-20%),Low,37.208,37.208,37.208,Underpriced
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,55.968,1,0.2,-2.0988,55.968,-3.75,55.968,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,431.928,9,0.2,64.7892,47.992,15.0,431.928,Low (1-20%),Mid,29.99,29.99,29.99,Overpriced
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,95.984,4,0.3,-4.1136,23.996,-4.285714285714286,95.984,Medium (21-40%),Low,105.623,105.623,105.623,Underpriced
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464,272.198,-170.00000000000003,1088.792,High (41%+),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,544.008,3,0.2,40.8006,181.336,7.5,544.008,Low (1-20%),Premium,105.623,105.623,105.623,Overpriced
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Binders,1.872,3,0.7,-1.4352,0.624,-76.66666666666666,1.872,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,854.352,3,0.2,10.6794,284.784,1.25,854.352,Low (1-20%),Premium,105.623,105.623,105.623,Overpriced
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,593.568,2,0.2,0.0,296.784,0.0,593.568,Low (1-20%),Premium,37.208,37.208,37.208,Overpriced
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,338.04,3,0.2,-33.804,112.68,-10.0,338.04,Low (1-20%),Premium,37.208,37.208,37.208,Overpriced
First Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,271.96,5,0.2,16.9975,54.392,6.25,271.96,Low (1-20%),Mid,69.99,69.99,69.99,Fair
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,11.21,1,0.0,3.363,11.21,30.0,11.21,No Discount,Low,37.208,37.208,37.208,Underpriced
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,9.144,3,0.2,3.2004,3.048,35.0,9.144,Low (1-20%),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,14.07,7,0.0,6.8943,2.01,49.0,14.07,No Discount,Mid,2.84,2.84,2.84,Underpriced
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,41.86,7,0.0,10.465,5.98,25.0,41.86,No Discount,Mid,4.24,4.24,4.24,Overpriced
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,8.544,2,0.2,2.8836,4.272,33.75,8.544,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Corporate,United States,New York City,New York,10009,East,Furniture,Bookcases,579.136,4,0.2,21.7176,144.784,3.75,579.136,Low (1-20%),Premium,102.833,102.833,102.833,Overpriced
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,141.372,2,0.3,-48.4704,70.686,-34.28571428571428,141.372,Medium (21-40%),Low,105.623,105.623,105.623,Underpriced
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,3.036,2,0.7,-2.3276,1.518,-76.66666666666666,3.036,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,4.503,1,0.7,-3.6024,4.503,-80.0,4.503,High (41%+),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,4.672,1,0.2,1.5768,4.672,33.75,4.672,Low (1-20%),Mid,4.24,4.24,4.24,Fair
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,95.88,3,0.2,28.764,31.96,30.0,95.88,Low (1-20%),Mid,29.99,29.99,29.99,Fair
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,17.024,2,0.2,1.7024,8.512,10.0,17.024,Low (1-20%),Mid,14.136,14.136,14.136,Underpriced
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,258.696,3,0.2,64.674,86.23200000000001,25.0,258.696,Low (1-20%),Premium,29.99,29.99,29.99,Overpriced
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,1931.958,7,0.4,-386.3916,275.994,-20.0,1931.958,Medium (21-40%),Premium,69.99,69.99,69.99,Overpriced
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Storage,249.75,9,0.0,44.955,27.75,18.0,249.75,No Discount,Mid,37.208,37.208,37.208,Underpriced
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,255.936,8,0.2,28.7928,31.992,11.249999999999998,255.936,Low (1-20%),Low,69.99,69.99,69.99,Underpriced
First Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,113.79,3,0.0,20.4822,37.93,18.0,113.79,No Discount,Premium,14.136,14.136,14.136,Overpriced
First Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,78.15,1,0.0,34.386,78.15,44.0,78.15,No Discount,Premium,29.99,29.99,29.99,Overpriced
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,1.728,1,0.2,0.6048,1.728,35.0,1.728,Low (1-20%),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,40.56,4,0.0,19.8744,10.14,49.0,40.56,No Discount,Premium,6.48,6.48,6.48,Overpriced
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,182.94,3,0.0,3.6588,60.98,2.0,182.94,No Discount,Mid,37.208,37.208,37.208,Overpriced
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,193.86,2,0.0,11.6316,96.93,6.0,193.86,No Discount,Premium,37.208,37.208,37.208,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.28,2,0.0,7.4872,7.64,49.0,15.28,No Discount,Low,9.303999999999998,9.303999999999998,9.303999999999998,Fair
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,8.73,1,0.0,2.9682,8.73,34.0,8.73,No Discount,Mid,14.136,14.136,14.136,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,5.68,2,0.0,1.7608,2.84,31.0,5.68,No Discount,Low,4.24,4.24,4.24,Underpriced
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Art,2.78,2,0.0,0.7228,1.39,26.0,2.78,No Discount,Low,4.24,4.24,4.24,Underpriced
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Envelopes,79.96,2,0.0,35.982,39.98,45.0,79.96,No Discount,Premium,9.303999999999998,9.303999999999998,9.303999999999998,Overpriced
First Class,Corporate,United States,Cincinnati,Ohio,45231,East,Technology,Copiers,839.988,2,0.4,69.999,419.994,8.333333333333332,839.988,Medium (21-40%),Mid,439.992,439.992,439.992,Fair
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,47.952,3,0.2,13.7862,15.984,28.75,47.952,Low (1-20%),Mid,14.136,14.136,14.136,Fair
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Binders,37.425,5,0.7,-29.94,7.484999999999999,-80.0,37.425,High (41%+),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,63.968,2,0.2,0.0,31.984,0.0,63.968,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,165.048,3,0.2,41.262,55.016,25.0,165.048,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,12.35,1,0.0,5.434,12.35,44.0,12.35,No Discount,Mid,14.136,14.136,14.136,Fair
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Art,40.97,1,0.0,10.6522,40.97,26.0,40.97,No Discount,Premium,4.24,4.24,4.24,Overpriced
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,22.96,2,0.0,10.7912,11.48,47.0,22.96,No Discount,Premium,2.84,2.84,2.84,Overpriced
Standard Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,22.0,4,0.0,5.5,5.5,25.0,22.0,No Discount,Low,69.99,69.99,69.99,Underpriced
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,398.352,3,0.2,124.485,132.784,31.25,398.352,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Fasteners,8.72,4,0.0,3.5752,2.18,41.0,8.72,No Discount,Mid,2.84,2.84,2.84,Fair
Standard Class,Consumer,United States,Gulfport,Mississippi,39503,South,Office Supplies,Envelopes,48.69,9,0.0,23.8581,5.41,49.00000000000001,48.69,No Discount,Low,9.303999999999998,9.303999999999998,9.303999999999998,Underpriced
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,764.688,6,0.2,95.586,127.448,12.5,764.688,Low (1-20%),Mid,145.49,145.49,145.49,Fair
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,3610.848,12,0.2,135.4068,300.904,3.75,3610.848,Low (1-20%),Premium,145.49,145.49,145.49,Overpriced
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Bookcases,254.9745,3,0.15,11.9988,84.9915,4.705882352941177,254.9745,Low (1-20%),Mid,102.833,102.833,102.833,Fair
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,38.82,6,0.0,17.469,6.47,45.0,38.82,No Discount,Mid,4.24,4.24,4.24,Overpriced
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,1141.938,9,0.1,139.5702,126.882,12.22222222222222,1141.938,Low (1-20%),Mid,105.623,105.623,105.623,Fair
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,1704.56,13,0.0,511.368,131.12,30.0,1704.56,No Discount,Premium,30.448,30.448,30.448,Overpriced
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,3.2,2,0.0,1.376,1.6,42.99999999999999,3.2,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Technology,Phones,1099.96,4,0.0,285.9896,274.99,26.0,1099.96,No Discount,Premium,69.99,69.99,69.99,Overpriced
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,5.248,2,0.2,0.5904,2.624,11.25,5.248,Low (1-20%),Low,4.24,4.24,4.24,Underpriced
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Technology,Phones,35.91,3,0.4,-8.379,11.97,-23.33333333333333,35.91,Medium (21-40%),Low,69.99,69.99,69.99,Underpriced
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,6.696,1,0.2,0.5022,6.696,7.5,6.696,Low (1-20%),Low,14.136,14.136,14.136,Underpriced
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,43.872,2,0.2,11.5164,21.936,26.25,43.872,Low (1-20%),Premium,14.136,14.136,14.136,Overpriced
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,27.882,3,0.7,-20.4468,9.294,-73.33333333333333,27.882,High (41%+),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,540.048,3,0.2,-47.2542,180.016,-8.75,540.048,Low (1-20%),Premium,37.208,37.208,37.208,Overpriced
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,255.68,8,0.2,76.704,31.96,30.0,255.68,Low (1-20%),Mid,29.99,29.99,29.99,Fair
